constructorId,team,logoUrl
6,Ferrari,https://upload.wikimedia.org/wikipedia/en/c/c0/Scuderia_Ferrari_Logo.svg
1,McLaren,https://upload.wikimedia.org/wikipedia/en/e/e5/McLaren_F1_logo.svg
9,Red Bull,https://upload.wikimedia.org/wikipedia/en/4/44/Red_bull_racing.png
131,Mercedes,https://upload.wikimedia.org/wikipedia/commons/2/21/Mercedes-Benz_in_Formula_One_logo.svg
10,Force India,https://upload.wikimedia.org/wikipedia/en/e/e8/Force_India.svg
3,Williams,https://upload.wikimedia.org/wikipedia/commons/e/e8/Williams_Racing_2020_logo.png
4,Renault,https://upload.wikimedia.org/wikipedia/en/1/1d/Renault_F1_Team_logo_2019.svg
5,Toro Rosso,https://upload.wikimedia.org/wikipedia/en/4/4f/Scuderia_Toro_Rosso_logo.svg
205,Lotus,https://upload.wikimedia.org/wikipedia/en/c/ce/Lotus_f1_racing.svg
15,Sauber,https://upload.wikimedia.org/wikipedia/commons/e/ea/Logo_Sauber_F1.png
164,HRT,https://upload.wikimedia.org/wikipedia/commons/8/8d/HRT_F1_TEAM_2012.svg
166,Virgin,https://upload.wikimedia.org/wikipedia/commons/b/b9/Virgin_Racing_sidepod.jpg
208,Lotus F1,https://upload.wikimedia.org/wikipedia/en/c/ce/Lotus_f1_racing.svg
206,Marussia,https://upload.wikimedia.org/wikipedia/commons/5/59/Manor_F1_Team_logo.png
207,Caterham,https://upload.wikimedia.org/wikipedia/commons/1/15/Caterham_F1_Team_logo.jpg
209,Manor Marussia,https://upload.wikimedia.org/wikipedia/commons/5/59/Manor_F1_Team_logo.png
210,Haas F1 Team,https://upload.wikimedia.org/wikipedia/commons/5/54/Haas_F1_Team_Logo.svg
51,Alfa Romeo,https://upload.wikimedia.org/wikipedia/commons/d/d4/Alfa_Romeo_F1_Team_Stake_Logo.svg
211,Racing Point,https://upload.wikimedia.org/wikipedia/commons/e/e1/Racing_Point.svg
213,AlphaTauri,https://upload.wikimedia.org/wikipedia/commons/8/80/AlphaTauri-Faenza-3.jpg
117,Aston Martin,https://upload.wikimedia.org/wikipedia/commons/b/bf/Logo_Aston_Martin_F1_Team.jpg
214,Alpine F1 Team,https://upload.wikimedia.org/wikipedia/commons/7/7e/Alpine_F1_Team_Logo.svg
